calendar_consistent,case_id,cleaned_output,delta_seconds,error,error_subtype,error_type,estimated_cost_usd,extraction_clean,format,format_compliance,gold_choice,gold_formatted,input_tokens,latency_ms,model,model_cell,options,output_tokens,parse_mode,provider_model,raw_output,reasoning_mode,reasoning_tokens,selected_choice,selected_option_content,semantic_correct,strict_correct,syntactic_valid,task_id,task_type,timestamp,warnings
True,extract_015__natural_language,"Tuesday, August 8, 2023 at 1:15 PM PDT",0.0,,,,0.001755,True,natural_language,1.0,,"Tuesday, August 8, 2023 at 1:15 PM PDT",241,2574,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Tuesday, August 8, 2023 at 1:15 PM PDT",non_reasoning,0,,,True,True,True,extract_015,extraction_from_passage,2026-03-14T18:26:43.441268Z,
,direct_gen_002__iso_8601,2025-12-15T17:00:00+11:00,0.0,,,,0.00128,True,iso_8601,1.0,,2025-12-15T17:00:00+11:00,156,2679,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-12-15T17:00:00+11:00,non_reasoning,0,,,True,True,True,direct_gen_002,direct_generation,2026-03-14T18:26:43.570988Z,
,edge_021__rfc_3339,2025-10-26T03:30:00+00:00,0.0,,,,0.0013,True,rfc_3339,1.0,,2025-10-26T03:30:00+00:00,160,1652,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-10-26T03:30:00+00:00,non_reasoning,0,,,True,True,True,edge_021,edge_cases,2026-03-14T18:26:43.797861Z,
True,edge_025__javascript_date,Sat Jun 08 2030 00:00:00 GMT-0500 (Central Daylight Time),0.0,,,,0.00152,True,javascript_date,1.0,,Sat Jun 08 2030 00:00:00 GMT-0500 (Central Daylight Time),154,2285,anthropic/claude-opus-4.6,large_non_reasoning,{},30,strict,anthropic/claude-4.6-opus-20260205,Sat Jun 08 2030 00:00:00 GMT-0500 (Central Daylight Time),non_reasoning,0,,,True,True,True,edge_025,edge_cases,2026-03-14T18:26:43.999641Z,
True,direct_gen_023__natural_language,"Tuesday, October 03, 2023 at 5:50 PM UTC",0.0,,,,0.00127,True,natural_language,0.9743589743589743,,"Tuesday, October 3, 2023 at 5:50 PM UTC",149,2032,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Tuesday, October 03, 2023 at 5:50 PM UTC",non_reasoning,0,,,True,True,True,direct_gen_023,direct_generation,2026-03-14T18:26:44.574708Z,
,extract_028__iso_8601,2029-10-11T12:45:00+00:00,149447400.0,,,extraction_error,0.001695,True,iso_8601,0.6799999999999999,,2025-01-15T11:35:00-08:00,239,2091,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2029-10-11T12:45:00+00:00,non_reasoning,0,,,False,False,True,extract_028,extraction_from_passage,2026-03-14T18:26:44.654325Z,
,mc_018__unix_epoch,C,,,,,0.00103,True,unix_epoch,1.0,C,1736571300,186,2171,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""1736571300000"", ""B"": ""1736657700"", ""C"": ""1736571300"", ""D"": ""1736574900""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,C,non_reasoning,0,C,1736571300,True,True,True,mc_018,multiple_choice_validation,2026-03-14T18:26:45.114080Z,
,multi_hop_020__rfc_3339,2025-09-29T08:15:00+09:00,0.0,,,,0.001465,True,rfc_3339,1.0,,2025-09-29T08:15:00+09:00,193,2186,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-09-29T08:15:00+09:00,non_reasoning,0,,,True,True,True,multi_hop_020,multi_hop_reasoning,2026-03-14T18:26:45.757875Z,
,direct_gen_011__python_datetime,2021-01-25 16:05:00-08:00,0.0,,,,0.00126,True,python_datetime,1.0,,2021-01-25 16:05:00-08:00,152,2244,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2021-01-25 16:05:00-08:00,non_reasoning,0,,,True,True,True,direct_gen_011,direct_generation,2026-03-14T18:26:46.042855Z,
True,edge_001__rfc_2822,"Thu, 29 Feb 2024 12:00:00 +0000",0.0,,,,0.001335,True,rfc_2822,1.0,,"Thu, 29 Feb 2024 12:00:00 +0000",157,2517,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Thu, 29 Feb 2024 12:00:00 +0000",non_reasoning,0,,,True,True,True,edge_001,edge_cases,2026-03-14T18:26:46.521156Z,
True,temporal_arith_029__natural_language,"Wednesday, July 03, 2024 at 4:05 AM PDT",0.0,,,,0.001365,True,natural_language,0.9736842105263158,,"Wednesday, July 3, 2024 at 4:05 AM PDT",163,2670,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Wednesday, July 03, 2024 at 4:05 AM PDT",non_reasoning,0,,,True,True,True,temporal_arith_029,temporal_arithmetic,2026-03-14T18:26:47.245960Z,
,edge_033__unix_epoch,1830297000,6000.0,,,epoch_conversion_error,0.000865,True,unix_epoch,0.7,,1830303000,133,2652,anthropic/claude-opus-4.6,large_non_reasoning,{},8,strict,anthropic/claude-4.6-opus-20260205,1830297000,non_reasoning,0,,,False,False,True,edge_033,edge_cases,2026-03-14T18:26:47.307049Z,
,multi_hop_033__python_datetime,2027-03-11 10:00:00+09:00,0.0,,,,0.00387,False,python_datetime,1.0,,2027-03-11 10:00:00+09:00,174,3883,anthropic/claude-opus-4.6,large_non_reasoning,{},120,strict,anthropic/claude-4.6-opus-20260205,"The second Friday of March 2027: March 1, 2027 is a Monday, so the first Friday is March 5, and the second Friday is March 12, 2027.

Alice's meeting: 2027-03-12 10:00:00 in Asia/Tokyo (UTC+9).

Bob's deadline is 24 hours before: 2027-03-11 10:00:00+09:00.

2027-03-11 10:00:00+09:00",non_reasoning,0,,,True,True,True,multi_hop_033,multi_hop_reasoning,2026-03-14T18:26:47.324830Z,
,mc_007__unix_epoch,B,,,,,0.00103,True,unix_epoch,1.0,B,1772447700,186,2273,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""1772534100"", ""B"": ""1772447700"", ""C"": ""1772447700000"", ""D"": ""1772451300""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,B,non_reasoning,0,B,1772447700,True,True,True,mc_007,multiple_choice_validation,2026-03-14T18:26:47.388370Z,
,mc_011__rfc_2822,A,,,,,0.001455,True,rfc_2822,1.0,A,"Mon, 09 Apr 2029 17:20:00 +1030",271,1796,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Mon, 09 Apr 2029 17:20:00 +1030"", ""B"": ""Tue, 09 Apr 2029 17:20:00 +1030"", ""C"": ""Tue, 10 Apr 2029 17:20:00 +1030"", ""D"": ""Mon, 09 04 2029 17:20:00 +1030""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,A,non_reasoning,0,A,"Mon, 09 Apr 2029 17:20:00 +1030",True,True,True,mc_011,multiple_choice_validation,2026-03-14T18:26:47.554839Z,
,temporal_arith_030__unix_epoch,1744145400,170400.0,,,epoch_conversion_error,0.00087,True,unix_epoch,0.6,,1743975000,134,1987,anthropic/claude-opus-4.6,large_non_reasoning,{},8,strict,anthropic/claude-4.6-opus-20260205,1744145400,non_reasoning,0,,,False,False,True,temporal_arith_030,temporal_arithmetic,2026-03-14T18:26:48.031099Z,
,extract_009__unix_epoch,1733262300,31532400.0,,,extraction_error,0.00129,True,unix_epoch,0.4,,1764794700,218,1741,anthropic/claude-opus-4.6,large_non_reasoning,{},8,strict,anthropic/claude-4.6-opus-20260205,1733262300,non_reasoning,0,,,False,False,True,extract_009,extraction_from_passage,2026-03-14T18:26:48.262739Z,
False,temporal_arith_030__rfc_2822,"Mon, 07 Apr 2025 21:30:00 +0000",86400.0,,,day_of_week_error,0.001365,True,rfc_2822,0.9032258064516129,,"Sun, 06 Apr 2025 21:30:00 +0000",163,1662,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Mon, 07 Apr 2025 21:30:00 +0000",non_reasoning,0,,,False,False,True,temporal_arith_030,temporal_arithmetic,2026-03-14T18:26:48.909045Z,
,extract_023__unix_epoch,1842800400,199583400.0,,,extraction_error,0.00128,True,unix_epoch,0.5,,1643217000,216,2121,anthropic/claude-opus-4.6,large_non_reasoning,{},8,strict,anthropic/claude-4.6-opus-20260205,1842800400,non_reasoning,0,,,False,False,True,extract_023,extraction_from_passage,2026-03-14T18:26:49.429160Z,
True,extract_005__rfc_2822,"Tue, 19 Jan 2027 17:40:00 -0800",0.0,,,,0.0018,True,rfc_2822,1.0,,"Tue, 19 Jan 2027 17:40:00 -0800",245,2442,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Tue, 19 Jan 2027 17:40:00 -0800",non_reasoning,0,,,True,True,True,extract_005,extraction_from_passage,2026-03-14T18:26:49.767978Z,
False,temporal_arith_019__rfc_2822,"Wait, let me recalculate. October 1, 2026: January 1, 2026 is Thursday. Let",,,,instruction_violation,0.008325,False,rfc_2822,0.0,,"Fri, 30 Oct 2026 16:35:00 +0000",165,6783,anthropic/claude-opus-4.6,large_non_reasoning,{},300,,anthropic/claude-4.6-opus-20260205,"I need to find the date and time exactly 89 days after August 2, 2026 at 4:35 PM in Europe/London timezone.

Starting date: August 2, 2026, 16:35:00 Europe/London

Adding 89 days:
- August has 31 days. From August 2, remaining days in August: 31 - 2 = 29 days
- 89 - 29 = 60 days remaining after August 31
- September has 30 days: 60 - 30 = 30 days remaining after September 30
- October: 30 days remaining → October 30

So the date is October 30, 2026 at 16:35:00.

Now I need to check the timezone offset. Europe/London uses BST (UTC+1) during summer and GMT (UTC+0) during winter. The clocks go back on the last Sunday of October 2026.

October 2026: October 1 is a Thursday. So the last Sunday is October 25, 2026. Clocks go back at 2:00 AM on October 25, 2026.

Wait, let me recalculate. October 1, 2026: January 1, 2026 is Thursday. Let",non_reasoning,0,,,False,False,False,temporal_arith_019,temporal_arithmetic,2026-03-14T18:26:49.876541Z,
,direct_gen_033__python_datetime,2026-12-19 15:00:00-05:00,0.0,,,,0.00126,True,python_datetime,1.0,,2026-12-19 15:00:00-05:00,152,2534,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-12-19 15:00:00-05:00,non_reasoning,0,,,True,True,True,direct_gen_033,direct_generation,2026-03-14T18:26:50.565850Z,
True,extract_003__natural_language,"Friday, February 25, 2022 at 5:10 PM LHST",1800.0,,,extraction_error,0.00182,True,natural_language,0.9,,"Friday, February 25, 2022 at 5:10 PM +11",244,3037,anthropic/claude-opus-4.6,large_non_reasoning,{},24,strict,anthropic/claude-4.6-opus-20260205,"Friday, February 25, 2022 at 5:10 PM LHST",non_reasoning,0,,,False,False,True,extract_003,extraction_from_passage,2026-03-14T18:26:50.592815Z,
,edge_034__python_datetime,2032-02-29 16:00:00+11:00,0.0,,,,0.001295,True,python_datetime,1.0,,2032-02-29 16:00:00+11:00,159,2354,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2032-02-29 16:00:00+11:00,non_reasoning,0,,,True,True,True,edge_034,edge_cases,2026-03-14T18:26:50.617589Z,
,format_conv_004__rfc_3339,2023-04-23T19:00:00+09:00,0.0,,,,0.00127,True,rfc_3339,1.0,,2023-04-23T19:00:00+09:00,154,2055,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2023-04-23T19:00:00+09:00,non_reasoning,0,,,True,True,True,format_conv_004,format_conversion,2026-03-14T18:26:50.964603Z,
True,multi_hop_025__rfc_2822,"Fri, 05 Apr 2030 10:00:00 +0900",0.0,,,,0.00387,False,rfc_2822,1.0,,"Fri, 05 Apr 2030 10:00:00 +0900",179,3903,anthropic/claude-opus-4.6,large_non_reasoning,{},119,strict,anthropic/claude-4.6-opus-20260205,"The second Monday of April 2030 is April 8, 2030. Alice's meeting is at 10:00 AM Asia/Tokyo (UTC+9), which is April 8, 2030 10:00:00 +0900.

72 hours before that is April 5, 2030 10:00:00 +0900.

April 5, 2030 is a Friday.

Fri, 05 Apr 2030 10:00:00 +0900",non_reasoning,0,,,True,True,True,multi_hop_025,multi_hop_reasoning,2026-03-14T18:26:51.292015Z,
,temporal_arith_014__rfc_3339,2024-03-03T19:20:00+00:00,0.0,,,,0.001305,True,rfc_3339,1.0,,2024-03-03T19:20:00+00:00,161,1967,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2024-03-03T19:20:00+00:00,non_reasoning,0,,,True,True,True,temporal_arith_014,temporal_arithmetic,2026-03-14T18:26:51.396583Z,
,format_conv_010__rfc_3339,2020-05-09T11:15:00+01:00,0.0,,,,0.00127,True,rfc_3339,1.0,,2020-05-09T11:15:00+01:00,154,1764,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2020-05-09T11:15:00+01:00,non_reasoning,0,,,True,True,True,format_conv_010,format_conversion,2026-03-14T18:26:51.533192Z,
,multi_hop_032__python_datetime,2030-08-21 08:15:00+09:00,0.0,,,,0.00145,True,python_datetime,1.0,,2030-08-21 08:15:00+09:00,190,1976,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2030-08-21 08:15:00+09:00,non_reasoning,0,,,True,True,True,multi_hop_032,multi_hop_reasoning,2026-03-14T18:26:51.853502Z,
,mc_021__python_datetime,D,,,,,0.001395,True,python_datetime,1.0,D,2025-10-25 10:25:00+11:00,259,1491,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""2025-10-25 10:25:00-11:00"", ""B"": ""2025-10-26 10:25:00+11:00"", ""C"": ""2025-10-25T10:25:00+11:00"", ""D"": ""2025-10-25 10:25:00+11:00""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,D,non_reasoning,0,D,2025-10-25 10:25:00+11:00,True,True,True,mc_021,multiple_choice_validation,2026-03-14T18:26:52.057913Z,
True,direct_gen_010__rfc_2822,"Fri, 31 Oct 2025 19:15:00 -0500",0.0,,,,0.00135,True,rfc_2822,1.0,,"Fri, 31 Oct 2025 19:15:00 -0500",155,1995,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Fri, 31 Oct 2025 19:15:00 -0500",non_reasoning,0,,,True,True,True,direct_gen_010,direct_generation,2026-03-14T18:26:52.588401Z,
False,multi_hop_008__natural_language,"Monday, June 08, 2025 at 8:15 AM JST",0.0,,,,0.001505,True,natural_language,0.9142857142857143,,"Sunday, June 8, 2025 at 8:15 AM JST",191,2362,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Monday, June 08, 2025 at 8:15 AM JST",non_reasoning,0,,,True,False,True,multi_hop_008,multi_hop_reasoning,2026-03-14T18:26:53.327912Z,
,format_conv_011__python_datetime,2026-01-28 16:15:00+00:00,50400.0,,,unknown,0.001185,True,python_datetime,0.84,,2026-01-29 07:15:00+01:00,137,2149,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-01-28 16:15:00+00:00,non_reasoning,0,,,False,False,True,format_conv_011,format_conversion,2026-03-14T18:26:53.442278Z,
,multi_hop_005__python_datetime,2028-04-30 10:00:00+09:00,0.0,,,,0.003095,False,python_datetime,1.0,,2028-04-30 10:00:00+09:00,174,3186,anthropic/claude-opus-4.6,large_non_reasoning,{},89,strict,anthropic/claude-4.6-opus-20260205,"The first Thursday of May 2028 is May 4, 2028.

Alice's meeting: 2028-05-04 10:00:00+09:00 (Asia/Tokyo)

96 hours before: 2028-04-30 10:00:00+09:00

2028-04-30 10:00:00+09:00",non_reasoning,0,,,True,True,True,multi_hop_005,multi_hop_reasoning,2026-03-14T18:26:53.804687Z,
,extract_014__rfc_3339,2028-10-08T18:15:00+09:00,0.0,,,,0.00171,True,rfc_3339,1.0,,2028-10-08T18:15:00+09:00,242,2363,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2028-10-08T18:15:00+09:00,non_reasoning,0,,,True,True,True,extract_014,extraction_from_passage,2026-03-14T18:26:54.217200Z,
,format_conv_010__unix_epoch,1589019300,0.0,,,,0.000835,True,unix_epoch,1.0,,1589019300,127,2507,anthropic/claude-opus-4.6,large_non_reasoning,{},8,strict,anthropic/claude-4.6-opus-20260205,1589019300,non_reasoning,0,,,True,True,True,format_conv_010,format_conversion,2026-03-14T18:26:54.565349Z,
,temporal_arith_036__rfc_3339,2028-07-13T05:20:00+01:00,0.0,,,,0.001315,True,rfc_3339,1.0,,2028-07-13T05:20:00+01:00,163,2314,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2028-07-13T05:20:00+01:00,non_reasoning,0,,,True,True,True,temporal_arith_036,temporal_arithmetic,2026-03-14T18:26:54.903441Z,
,edge_013__python_datetime,2026-07-04 12:00:00+00:00,0.0,,,,0.0012,True,python_datetime,1.0,,2026-07-04 12:00:00+00:00,140,1867,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-07-04 12:00:00+00:00,non_reasoning,0,,,True,True,True,edge_013,edge_cases,2026-03-14T18:26:55.195693Z,
,multi_hop_019__iso_8601,2025-05-15T04:30:00-07:00,0.0,,,,0.004155,False,iso_8601,1.0,,2025-05-15T04:30:00-07:00,196,4037,anthropic/claude-opus-4.6,large_non_reasoning,{},127,strict,anthropic/claude-4.6-opus-20260205,"May 13, 2025 is a Tuesday. The next Wednesday is May 14, 2025. The follow-up review is at 4:30 PM on May 14, 2025 in America/Los_Angeles. The final sign-off is 12 hours later, which is 4:30 AM on May 15, 2025 in America/Los_Angeles.

America/Los_Angeles in May is PDT, which is UTC-7.

2025-05-15T04:30:00-07:00",non_reasoning,0,,,True,True,True,multi_hop_019,multi_hop_reasoning,2026-03-14T18:26:55.434327Z,
,mc_017__rfc_2822,A,,,,,0.001435,True,rfc_2822,1.0,A,"Tue, 21 Dec 2027 15:55:00 +0900",267,2002,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Tue, 21 Dec 2027 15:55:00 +0900"", ""B"": ""Wed, 22 Dec 2027 15:55:00 +0900"", ""C"": ""Wed, 21 Dec 2027 15:55:00 +0900"", ""D"": ""Tue, 21 12 2027 15:55:00 +0900""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,A,non_reasoning,0,A,"Tue, 21 Dec 2027 15:55:00 +0900",True,True,True,mc_017,multiple_choice_validation,2026-03-14T18:26:55.445594Z,
True,temporal_arith_034__natural_language,"Saturday, March 18, 2028 at 1:10 AM GMT",0.0,,,,0.00133,True,natural_language,1.0,,"Saturday, March 18, 2028 at 1:10 AM GMT",161,2283,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Saturday, March 18, 2028 at 1:10 AM GMT",non_reasoning,0,,,True,True,True,temporal_arith_034,temporal_arithmetic,2026-03-14T18:26:56.088397Z,
,extract_029__rfc_3339,2029-07-15T10:40:00+12:00,41373900.0,,,extraction_error,0.0017,True,rfc_3339,0.6799999999999999,,2028-03-23T10:55:00+09:00,240,2052,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2029-07-15T10:40:00+12:00,non_reasoning,0,,,False,False,True,extract_029,extraction_from_passage,2026-03-14T18:26:56.618443Z,
,direct_gen_003__python_datetime,2022-06-24 08:20:00+00:00,0.0,,,,0.00124,True,python_datetime,1.0,,2022-06-24 08:20:00+00:00,148,1722,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2022-06-24 08:20:00+00:00,non_reasoning,0,,,True,True,True,direct_gen_003,direct_generation,2026-03-14T18:26:57.157580Z,
,multi_hop_009__iso_8601,2025-01-07T10:00:00-05:00,0.0,,,,0.00139,True,iso_8601,1.0,,2025-01-07T10:00:00-05:00,178,2042,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-01-07T10:00:00-05:00,non_reasoning,0,,,True,True,True,multi_hop_009,multi_hop_reasoning,2026-03-14T18:26:57.238579Z,
,temporal_arith_029__rfc_3339,2024-07-03T04:05:00-07:00,0.0,,,,0.001325,True,rfc_3339,1.0,,2024-07-03T04:05:00-07:00,165,2418,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2024-07-03T04:05:00-07:00,non_reasoning,0,,,True,True,True,temporal_arith_029,temporal_arithmetic,2026-03-14T18:26:57.864106Z,
True,direct_gen_016__rfc_2822,"Tue, 20 Apr 2027 10:05:00 -0700",0.0,,,,0.00136,True,rfc_2822,1.0,,"Tue, 20 Apr 2027 10:05:00 -0700",157,1818,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Tue, 20 Apr 2027 10:05:00 -0700",non_reasoning,0,,,True,True,True,direct_gen_016,direct_generation,2026-03-14T18:26:57.907203Z,
True,format_conv_007__natural_language,"Wednesday, September 02, 2020 at 6:00 PM IST",0.0,,,,0.001335,True,natural_language,0.9767441860465116,,"Wednesday, September 2, 2020 at 6:00 PM IST",157,6523,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Wednesday, September 02, 2020 at 6:00 PM IST",non_reasoning,0,,,True,True,True,format_conv_007,format_conversion,2026-03-14T18:26:20.137312Z,
,edge_008__rfc_3339,2025-11-02T03:30:00-05:00,0.0,,,,0.00131,True,rfc_3339,1.0,,2025-11-02T03:30:00-05:00,162,1551,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-11-02T03:30:00-05:00,non_reasoning,0,,,True,True,True,edge_008,edge_cases,2026-03-14T18:26:20.250205Z,
True,format_conv_002__natural_language,"Sunday, February 27, 2028 at 12:35 PM EST",0.0,,,,0.001295,True,natural_language,1.0,,"Sunday, February 27, 2028 at 12:35 PM EST",154,1508,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Sunday, February 27, 2028 at 12:35 PM EST",non_reasoning,0,,,True,True,True,format_conv_002,format_conversion,2026-03-14T18:26:59.482372Z,
