calendar_consistent,case_id,cleaned_output,delta_seconds,error,error_subtype,error_type,estimated_cost_usd,extraction_clean,format,format_compliance,gold_choice,gold_formatted,input_tokens,latency_ms,model,model_cell,options,output_tokens,parse_mode,provider_model,raw_output,reasoning_mode,reasoning_tokens,selected_choice,selected_option_content,semantic_correct,syntactic_valid,task_id,task_type,timestamp,warnings
True,direct_gen_020__javascript_date,Mon Oct 16 2023 13:30:00 GMT-0400 (Eastern Daylight Time),0.0,,,,0.001545,True,javascript_date,1.0,,Mon Oct 16 2023 13:30:00 GMT-0400 (Eastern Daylight Time),164,3821,anthropic/claude-opus-4.6,large_non_reasoning,{},29,strict,anthropic/claude-4.6-opus-20260205,Mon Oct 16 2023 13:30:00 GMT-0400 (Eastern Daylight Time),non_reasoning,0,,,True,True,direct_gen_020,direct_generation,2026-03-14T17:17:26.112101Z,
True,format_conv_019__natural_language,"Saturday, April 11, 2026 at 9:55 AM +01:00",0.0,,,,0.00137,True,natural_language,0.8461538461538461,,"Saturday, April 11, 2026 at 9:55 AM BST",154,4745,anthropic/claude-opus-4.6,large_non_reasoning,{},24,strict,anthropic/claude-4.6-opus-20260205,"Saturday, April 11, 2026 at 9:55 AM +01:00",non_reasoning,0,,,True,True,format_conv_019,format_conversion,2026-03-14T17:17:27.064713Z,
True,temporal_arith_014__natural_language,"Monday, December 28, 2020 at 1:05 AM EST",0.0,,,,0.00134,True,natural_language,1.0,,"Monday, December 28, 2020 at 1:05 AM EST",163,5307,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Monday, December 28, 2020 at 1:05 AM EST",non_reasoning,0,,,True,True,temporal_arith_014,temporal_arithmetic,2026-03-14T17:17:28.194627Z,
True,format_conv_009__rfc_2822,"Fri, 21 Sep 2029 17:30:00 +0900",0.0,,,,0.001355,True,rfc_2822,1.0,,"Fri, 21 Sep 2029 17:30:00 +0900",156,4787,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Fri, 21 Sep 2029 17:30:00 +0900",non_reasoning,0,,,True,True,format_conv_009,format_conversion,2026-03-14T17:17:28.861761Z,
True,format_conv_010__rfc_2822,"Wed, 09 Jun 2021 18:00:00 +0530",0.0,,,,0.00133,True,rfc_2822,1.0,,"Wed, 09 Jun 2021 18:00:00 +0530",156,4895,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Wed, 09 Jun 2021 18:00:00 +0530",non_reasoning,0,,,True,True,format_conv_010,format_conversion,2026-03-14T17:17:30.173259Z,
True,format_conv_012__javascript_date,Sun May 24 2020 05:30:00 GMT+0000 (Coordinated Universal Time),0.0,,,,0.00155,True,javascript_date,0.6727272727272727,,Sun May 24 2020 06:30:00 GMT+0100 (British Summer Time),165,4910,anthropic/claude-opus-4.6,large_non_reasoning,{},29,strict,anthropic/claude-4.6-opus-20260205,Sun May 24 2020 05:30:00 GMT+0000 (Coordinated Universal Time),non_reasoning,0,,,True,True,format_conv_012,format_conversion,2026-03-14T17:17:31.023782Z,
True,format_conv_001__rfc_2822,"Sun, 27 Sep 2020 11:55:00 +0530",0.0,,,,0.00132,True,rfc_2822,1.0,,"Sun, 27 Sep 2020 11:55:00 +0530",154,5823,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sun, 27 Sep 2020 11:55:00 +0530",non_reasoning,0,,,True,True,format_conv_001,format_conversion,2026-03-14T17:16:56.603498Z,
False,multi_hop_017__javascript_date,Thu Aug 13 2028 10:00:00 GMT+0000 (Coordinated Universal Time),0.0,,,,0.001645,True,javascript_date,0.9516129032258065,,Sun Aug 13 2028 10:00:00 GMT+0000 (Coordinated Universal Time),184,5180,anthropic/claude-opus-4.6,large_non_reasoning,{},29,strict,anthropic/claude-4.6-opus-20260205,Thu Aug 13 2028 10:00:00 GMT+0000 (Coordinated Universal Time),non_reasoning,0,,,True,True,multi_hop_017,multi_hop_reasoning,2026-03-14T17:17:36.102648Z,
True,edge_014__javascript_date,Tue Feb 29 2028 09:00:00 GMT+0000 (Coordinated Universal Time),0.0,,,,0.001535,True,javascript_date,1.0,,Tue Feb 29 2028 09:00:00 GMT+0000 (Coordinated Universal Time),157,5250,anthropic/claude-opus-4.6,large_non_reasoning,{},30,strict,anthropic/claude-4.6-opus-20260205,Tue Feb 29 2028 09:00:00 GMT+0000 (Coordinated Universal Time),non_reasoning,0,,,True,True,edge_014,edge_cases,2026-03-14T17:17:38.151052Z,
,temporal_arith_001__iso_8601,2025-03-09T05:00:00-04:00,3600.0,,,arithmetic_error,0.00412,False,iso_8601,0.96,,2025-03-09T04:00:00-04:00,164,6822,anthropic/claude-opus-4.6,large_non_reasoning,{},132,strict,anthropic/claude-4.6-opus-20260205,"In America/New_York, on March 9, 2025, Daylight Saving Time begins at 2:00 AM, when clocks spring forward to 3:00 AM.

So starting at 1:00 AM EST:
- 1 hour later → 2:00 AM → clocks spring to 3:00 AM EDT
- 2 hours later → 4:00 AM EDT
- 3 hours later → 5:00 AM EDT

2025-03-09T05:00:00-04:00",non_reasoning,0,,,False,True,temporal_arith_001,temporal_arithmetic,2026-03-14T17:17:38.411710Z,
,edge_008__rfc_3339,2025-11-02T03:30:00-05:00,0.0,,,,0.00131,True,rfc_3339,1.0,,2025-11-02T03:30:00-05:00,162,5154,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-11-02T03:30:00-05:00,non_reasoning,0,,,True,True,edge_008,edge_cases,2026-03-14T17:17:38.905254Z,
True,format_conv_016__rfc_2822,"Tue, 22 Jun 2021 07:00:00 -0400",0.0,,,,0.001345,True,rfc_2822,1.0,,"Tue, 22 Jun 2021 07:00:00 -0400",154,4365,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Tue, 22 Jun 2021 07:00:00 -0400",non_reasoning,0,,,True,True,format_conv_016,format_conversion,2026-03-14T17:17:39.980729Z,
,extract_003__python_datetime,2022-02-25 17:10:00+09:00,0.0,,,,0.001675,True,python_datetime,1.0,,2022-02-25 17:10:00+09:00,235,4824,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2022-02-25 17:10:00+09:00,non_reasoning,0,,,True,True,extract_003,extraction_from_passage,2026-03-14T17:17:40.927927Z,
,format_conv_018__rfc_3339,2021-04-22T14:45:00+10:00,0.0,,,,0.0013,True,rfc_3339,1.0,,2021-04-22T14:45:00+10:00,160,3349,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2021-04-22T14:45:00+10:00,non_reasoning,0,,,True,True,format_conv_018,format_conversion,2026-03-14T17:17:41.501053Z,
True,multi_hop_015__natural_language,"Thursday, August 09, 2029 at 10:30 AM PDT",0.0,,,,0.003575,False,natural_language,0.975,,"Thursday, August 9, 2029 at 10:30 AM PDT",195,5428,anthropic/claude-opus-4.6,large_non_reasoning,{},104,strict,anthropic/claude-4.6-opus-20260205,"August 1, 2029 is a Wednesday. So the next Wednesday is August 8, 2029 at 4:30 PM America/Los_Angeles.

Adding 18 hours to August 8, 2029 at 4:30 PM PDT gives August 9, 2029 at 10:30 AM PDT.

Thursday, August 09, 2029 at 10:30 AM PDT",non_reasoning,0,,,True,True,multi_hop_015,multi_hop_reasoning,2026-03-14T17:17:43.840623Z,
True,direct_gen_016__rfc_2822,"Sun, 16 Mar 2025 09:45:00 +0000",0.0,,,,0.001325,True,rfc_2822,1.0,,"Sun, 16 Mar 2025 09:45:00 +0000",155,5083,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sun, 16 Mar 2025 09:45:00 +0000",non_reasoning,0,,,True,True,direct_gen_016,direct_generation,2026-03-14T17:17:43.988876Z,
,temporal_arith_010__iso_8601,2021-01-27T03:30:00-05:00,0.0,,,,0.00132,True,iso_8601,1.0,,2021-01-27T03:30:00-05:00,164,4916,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2021-01-27T03:30:00-05:00,non_reasoning,0,,,True,True,temporal_arith_010,temporal_arithmetic,2026-03-14T17:17:44.915137Z,
,format_conv_020__iso_8601,2026-10-23T20:05:00+09:00,0.0,,,,0.001295,True,iso_8601,1.0,,2026-10-23T20:05:00+09:00,159,5355,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-10-23T20:05:00+09:00,non_reasoning,0,,,True,True,format_conv_020,format_conversion,2026-03-14T17:17:46.856716Z,
,edge_018__rfc_3339,2026-03-14T12:00:00+00:00,0.0,,,,0.001215,True,rfc_3339,1.0,,2026-03-14T12:00:00+00:00,143,3935,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-03-14T12:00:00+00:00,non_reasoning,0,,,True,True,edge_018,edge_cases,2026-03-14T17:17:47.776984Z,
True,temporal_arith_019__rfc_2822,"Fri, 30 Oct 2026 16:35:00 -0700",0.0,,,,0.007185,False,rfc_2822,1.0,,"Fri, 30 Oct 2026 16:35:00 -0700",167,8133,anthropic/claude-opus-4.6,large_non_reasoning,{},254,strict,anthropic/claude-4.6-opus-20260205,"I need to find the date and time exactly 89 days after August 2, 2026 at 4:35 PM in America/Los_Angeles.

Starting: August 2, 2026 at 16:35:00 PDT (UTC-0700)

Adding 89 days:
- August has 31 days, so remaining days in August after the 2nd: 29 days
- 89 - 29 = 60 days remaining after August 31
- September has 30 days: 60 - 30 = 30 days remaining after September 30
- October 30

So the date is October 30, 2026 at 4:35 PM.

Now I need to check the timezone. In 2026, daylight saving time ends on November 1 (first Sunday of November). October 30 is before November 1, so it's still PDT (UTC-0700).

October 30, 2026 is a Friday.

Fri, 30 Oct 2026 16:35:00 -0700",non_reasoning,0,,,True,True,temporal_arith_019,temporal_arithmetic,2026-03-14T17:17:49.061936Z,
True,format_conv_016__natural_language,"Tuesday, June 22, 2021 at 7:00 AM EDT",0.0,,,,0.001295,True,natural_language,1.0,,"Tuesday, June 22, 2021 at 7:00 AM EDT",154,4966,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Tuesday, June 22, 2021 at 7:00 AM EDT",non_reasoning,0,,,True,True,format_conv_016,format_conversion,2026-03-14T17:17:49.881780Z,
,mc_002__rfc_3339,D,,,,,0.001375,True,rfc_3339,1.0,D,2026-04-21T20:55:00+10:00,255,3926,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""2026-04-22T20:55:00+10:00"", ""B"": ""2026-04-21T20:55:00-10:00"", ""C"": ""2026-04-21 20:55:00+10:00"", ""D"": ""2026-04-21T20:55:00+10:00""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,D,non_reasoning,0,D,2026-04-21T20:55:00+10:00,True,True,mc_002,multiple_choice_validation,2026-03-14T17:17:50.783370Z,
